device_ms,toe_L,heel_L,toe_R,heel_R
293491,,,340.0,921.0
293515,,,351.0,923.0
293525,,,324.0,923.0
293535,,,330.0,920.0
293545,,,321.0,924.0
293555,,,301.0,921.0
293565,,,312.0,920.0
293575,,,287.0,921.0
293585,,,305.0,919.0
293595,,,290.0,921.0
293605,,,309.0,928.0
293615,,,315.0,918.0
293625,,,320.0,919.0
293635,,,306.0,926.0
293645,,,288.0,914.0
293655,,,298.0,911.0
293665,,,335.0,908.0
293675,,,348.0,901.0
293685,,,320.0,898.0
293695,,,317.0,870.0
293705,,,282.0,851.0
293715,,,277.0,809.0
293725,,,261.0,760.0
293735,,,431.0,768.0
293745,,,392.0,776.0
293755,,,329.0,792.0
293765,,,311.0,780.0
293775,,,316.0,778.0
293785,,,320.0,784.0
293795,,,331.0,777.0
293805,,,359.0,782.0
293815,,,356.0,775.0
293825,,,362.0,779.0
293835,,,365.0,779.0
293845,,,352.0,789.0
293855,,,331.0,777.0
293865,,,316.0,775.0
293875,,,313.0,769.0
293885,,,306.0,770.0
293895,,,302.0,773.0
293905,,,286.0,757.0
293915,,,297.0,777.0
293925,,,304.0,778.0
293935,,,295.0,758.0
293945,,,295.0,785.0
293955,,,300.0,786.0
293965,,,309.0,787.0
294203,,,757.0,859.0
294213,,,769.0,862.0
294223,,,786.0,873.0
294233,,,794.0,878.0
294243,,,799.0,883.0
294253,,,799.0,885.0
294263,,,802.0,888.0
294273,,,803.0,890.0
294283,,,807.0,892.0
294293,,,814.0,898.0
294303,,,813.0,899.0
294313,,,814.0,900.0
294323,,,816.0,902.0
294333,,,816.0,901.0
294343,,,818.0,903.0
294353,,,817.0,903.0
294363,,,819.0,906.0
294373,,,820.0,905.0
294383,,,818.0,909.0
294393,,,821.0,909.0
294403,,,820.0,905.0
294413,,,822.0,908.0
294423,,,822.0,908.0
294433,,,821.0,908.0
294443,,,823.0,910.0
294453,,,824.0,908.0
294463,,,824.0,910.0
294473,,,821.0,910.0
294483,,,824.0,911.0
294493,,,821.0,910.0
294503,,,825.0,913.0
294513,,,821.0,911.0
294523,,,822.0,914.0
294533,,,821.0,912.0
294543,,,820.0,914.0
294553,,,822.0,912.0
294563,,,818.0,913.0
294573,,,817.0,915.0
294583,,,816.0,913.0
294593,,,813.0,912.0
294603,,,808.0,915.0
294613,,,809.0,914.0
294623,,,804.0,914.0
294633,,,796.0,911.0
294643,,,790.0,916.0
294653,,,783.0,915.0
294893,,,304.0,924.0
294903,,,305.0,915.0
294913,,,305.0,915.0
294923,,,298.0,916.0
294933,,,284.0,908.0
294943,,,307.0,907.0
295018,,,384.0,786.0
295108,,,362.0,796.0
295168,,,333.0,793.0
295228,,,358.0,803.0
295289,,,325.0,828.0
295348,,,322.0,836.0
295409,,,335.0,846.0
295468,,,770.0,866.0
295529,,,807.0,891.0
295631,,,821.0,906.0
295648,,,819.0,905.0
295708,,,823.0,910.0
295768,,,825.0,910.0
295829,,,820.0,911.0
295888,,,812.0,913.0
295949,,,748.0,914.0
296008,,,410.0,921.0
296069,,,345.0,921.0
296129,,,296.0,921.0
296188,,,301.0,915.0
296279,,,439.0,733.0
296338,,,350.0,778.0
296398,,,289.0,803.0
296458,,,296.0,807.0
296518,,,295.0,815.0
296609,,,319.0,829.0
296668,,,326.0,840.0
296728,,,769.0,864.0
296789,,,803.0,887.0
296848,,,818.0,903.0
